time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2012-03-21, 2012-03-21T23:54:01.036800000, 19.325, 1023.455, 0.850, 78.698, 34.082, 82.143, 52.143
2012-03-22, 2012-03-22T07:00:01.036800000, -34.984, 1023.504, 0.880, 78.525, 34.786, 83.574, 49.765
2012-03-23, 2012-03-23T16:44:01.036800000, -29.478, 1023.513, 0.869, 79.046, 32.076, 78.495, 45.613
2012-03-24, 2012-03-24T00:12:01.036800000, -21.549, 1023.463, 0.840, 79.765, 30.450, 73.587, 42.167
2012-03-25, 2012-03-25T13:55:01.036800000, -21.313, 1023.460, 0.858, 81.048, 31.422, 73.987, 41.903
2012-03-26, 2012-03-26T14:32:01.036800000, -19.091, 1023.428, 0.867, 80.810, 35.314, 74.487, 43.740
2012-03-27, 2012-03-27T14:02:01.036800000, -37.386, 1023.379, 0.845, 80.198, 38.054, 71.535, 45.956
2012-03-28, 2012-03-28T14:02:01.036800000, -27.167, 1023.520, 0.916, 83.077, 43.229, 85.905, 62.143
2012-03-29, 2012-03-29T04:35:01.036800000, -25.618, 1023.474, 0.904, 76.279, 46.081, 91.316, 59.592
2012-03-30, 2012-03-30T05:16:01.036800000, -24.851, 1023.492, 0.919, 74.793, 46.088, 97.039, 55.816
2012-03-31, 2012-03-31T13:32:01.036800000, -28.416, 1023.292, 0.858, 66.146, 42.846, 89.976, 55.709
2012-04-01, 2012-04-01T14:02:01.036800000, -28.303, 1023.242, 0.860, 61.597, 39.504, 91.768, 73.325
2012-04-02, 2012-04-02T00:42:01.036800000, -27.579, 1023.116, 0.845, 58.365, 40.497, 75.102, 82.075
2012-04-03, 2012-04-03T09:18:01.036800000, 21.450, 1022.952, 0.796, 49.102, 36.865, 65.403, 57.814
2012-04-04, 2012-04-04T21:54:01.036800000, 22.928, 1023.015, 0.790, 51.573, 31.081, 70.340, 54.694
2012-04-05, 2012-04-05T09:58:01.036800000, -22.513, 1022.996, 0.789, 51.822, 29.284, 70.033, 46.893
2012-04-06, 2012-04-06T16:40:01.036800000, -18.872, 1023.032, 0.829, 54.844, 32.362, 77.317, 54.328
2012-04-07, 2012-04-07T04:30:01.036800000, -36.209, 1023.157, 0.847, 62.958, 33.616, 84.494, 60.712
2012-04-08, 2012-04-08T14:22:01.036800000, -18.713, 1023.120, 0.805, 64.276, 33.455, 78.859, 57.550
2012-04-09, 2012-04-09T17:47:01.036800000, -23.760, 1023.011, 0.789, 54.888, 34.468, 78.345, 53.376
2012-04-10, 2012-04-10T23:38:01.036800000, 28.859, 1023.071, 0.905, 38.957, 40.629, 110.700, 63.156
2012-04-11, 2012-04-11T05:10:01.036800000, 25.853, 1023.219, 0.870, 42.257, 37.983, 116.052, 55.911
2012-04-12, 2012-04-12T15:19:01.036800000, 28.493, 1023.199, 0.841, 48.095, 40.725, 105.540, 67.522
2012-04-13, 2012-04-13T20:41:01.036800000, -30.479, 1023.108, 0.732, 55.177, 29.431, 80.081, 59.082
2012-04-14, 2012-04-14T17:03:01.036800000, 30.222, 1023.221, 0.791, 63.035, 30.392, 87.730, 68.190
2012-04-15, 2012-04-15T05:18:01.036800000, -36.442, 1023.199, 0.789, 68.275, 30.591, 78.674, 72.988
2012-04-16, 2012-04-16T06:00:01.036800000, -34.725, 1023.041, 0.698, 65.774, 25.413, 59.082, 54.710
2012-04-17, 2012-04-17T17:06:01.036800000, -32.916, 1023.118, 0.758, 67.987, 24.382, 67.568, 73.319
2012-04-18, 2012-04-18T00:34:01.036800000, -22.249, 1023.093, 0.744, 64.155, 29.951, 67.069, 70.870
2012-04-19, 2012-04-19T13:37:01.036800000, -35.339, 1023.018, 0.694, 59.178, 29.383, 62.380, 57.940
2012-04-20, 2012-04-20T14:29:01.036800000, -40.998, 1023.014, 0.686, 60.646, 27.923, 60.610, 58.252
2012-04-21, 2012-04-21T02:39:01.036800000, -21.596, 1023.091, 0.725, 63.143, 27.465, 72.942, 72.081
2012-04-22, 2012-04-22T18:51:01.036800000, 30.855, 1023.197, 0.769, 65.094, 29.206, 89.404, 77.401
2012-04-23, 2012-04-23T21:40:01.036800000, 27.086, 1023.290, 0.809, 65.691, 30.940, 101.927, 68.103
2012-04-24, 2012-04-24T01:48:01.036800000, -27.227, 1023.301, 0.835, 67.171, 35.235, 103.113, 69.845
2012-04-25, 2012-04-25T11:12:01.036800000, 18.210, 1023.216, 0.801, 66.812, 34.297, 90.812, 66.918
2012-04-26, 2012-04-26T19:55:01.036800000, -16.221, 1023.276, 0.822, 73.583, 37.403, 89.908, 75.408
2012-04-27, 2012-04-27T02:50:01.036800000, -30.916, 1023.224, 0.751, 76.286, 35.246, 76.448, 65.103
2012-04-28, 2012-04-28T04:30:01.036800000, -24.887, 1023.268, 0.727, 79.719, 36.195, 76.478, 64.142
2012-04-29, 2012-04-29T02:58:01.036800000, -21.992, 1023.184, 0.667, 79.207, 37.367, 65.226, 55.851
2012-04-30, 2012-04-30T19:06:01.036800000, 27.262, 1023.128, 0.611, 78.835, 31.216, 60.966, 40.985
2012-05-01, 2012-05-01T17:04:01.036800000, 34.890, 1023.133, 0.605, 84.151, 37.785, 56.726, 43.369
2012-05-02, 2012-05-02T03:10:01.036800000, 20.710, 1023.136, 0.619, 82.582, 44.473, 61.161, 42.391
2012-05-03, 2012-05-03T21:59:01.036800000, -26.418, 1023.225, 0.669, 83.269, 44.337, 74.896, 50.594
2012-05-04, 2012-05-04T22:58:01.036800000, 22.680, 1023.271, 0.668, 81.697, 34.257, 83.072, 40.177
2012-05-05, 2012-05-05T01:31:01.036800000, -23.316, 1023.193, 0.615, 79.646, 27.417, 78.121, 33.299
2012-05-06, 2012-05-06T01:29:01.036800000, -28.969, 1023.214, 0.630, 82.362, 28.106, 76.954, 31.209
2012-05-07, 2012-05-07T00:04:01.036800000, 22.019, 1023.250, 0.663, 83.476, 32.373, 79.483, 31.890
2012-05-08, 2012-05-08T11:45:01.036800000, 16.486, 1023.220, 0.664, 80.797, 37.326, 79.847, 33.757
2012-05-09, 2012-05-09T12:44:01.036800000, 13.506, 1023.168, 0.631, 76.653, 36.265, 78.425, 29.086
2012-05-10, 2012-05-10T06:36:01.036800000, 17.837, 1023.152, 0.608, 77.011, 32.670, 75.047, 27.364
2012-05-11, 2012-05-11T15:41:01.036800000, 30.770, 1023.163, 0.607, 79.146, 29.835, 71.917, 28.618
2012-05-12, 2012-05-12T07:42:01.036800000, 22.371, 1023.200, 0.624, 82.372, 30.605, 71.677, 32.794
2012-05-13, 2012-05-13T03:10:01.036800000, 30.283, 1023.237, 0.639, 86.312, 30.261, 72.691, 34.474
2012-05-14, 2012-05-14T17:36:01.036800000, -22.930, 1023.355, 0.688, 91.373, 33.115, 78.752, 36.705
2012-05-15, 2012-05-15T17:26:01.036800000, -25.650, 1023.296, 0.659, 93.491, 30.953, 69.982, 41.847
2012-05-16, 2012-05-16T09:02:01.036800000, 24.981, 1023.231, 0.629, 93.959, 27.015, 61.576, 39.993
2012-05-17, 2012-05-17T13:30:01.036800000, 25.253, 1023.261, 0.651, 96.229, 30.305, 64.972, 45.781
2012-05-18, 2012-05-18T22:45:01.036800000, 23.250, 1023.195, 0.607, 94.396, 28.036, 62.020, 37.260
2012-05-19, 2012-05-19T01:06:01.036800000, 22.643, 1023.181, 0.583, 94.169, 28.573, 64.402, 31.779
2012-05-20, 2012-05-20T11:36:01.036800000, 33.362, 1023.125, 0.540, 90.627, 26.593, 64.837, 25.336
2012-05-21, 2012-05-21T20:24:01.036800000, -20.074, 1023.127, 0.539, 90.690, 27.192, 66.644, 27.490
2012-05-22, 2012-05-22T11:14:01.036800000, 23.001, 1023.234, 0.589, 99.956, 33.270, 69.164, 34.902
2012-05-23, 2012-05-23T12:38:01.036800000, 19.038, 1023.236, 0.558, 102.578, 37.578, 65.981, 32.122
2012-05-24, 2012-05-24T07:56:01.036800000, 19.969, 1023.275, 0.537, 111.823, 42.395, 58.596, 30.134
2012-05-25, 2012-05-25T20:36:01.036800000, 41.365, 1023.279, 0.492, 123.425, 39.497, 45.440, 22.452
2012-05-26, 2012-05-26T10:26:01.036800000, 40.107, 1023.357, 0.508, 133.985, 42.756, 35.699, 22.612
2012-05-27, 2012-05-27T09:56:01.036800000, 26.703, 1023.750, 0.693, 153.971, 40.236, 36.436, 50.982
2012-05-28, 2012-05-28T02:12:01.036800000, 28.626, 1023.297, 0.451, 131.203, 34.672, 34.091, 18.138
2012-05-29, 2012-05-29T00:46:01.036800000, 51.125, 1023.287, 0.425, 130.844, 33.716, 34.527, 15.613
2012-05-30, 2012-05-30T02:22:01.036800000, 27.461, 1023.305, 0.417, 132.762, 35.175, 33.226, 16.265
2012-05-31, 2012-05-31T02:18:01.036800000, 38.503, 1023.316, 0.414, 130.444, 37.390, 35.113, 14.658
2012-06-01, 2012-06-01T02:08:01.036800000, 35.702, 1023.307, 0.399, 125.606, 32.336, 40.248, 13.960
2012-06-02, 2012-06-02T03:47:01.036800000, 22.818, 1023.349, 0.404, 128.084, 27.889, 38.819, 15.752
2012-06-03, 2012-06-03T19:19:01.036800000, 21.163, 1023.826, 0.623, 149.416, 32.757, 45.794, 36.231
2012-06-04, 2012-06-04T13:22:01.036800000, 27.578, 1023.811, 0.605, 148.444, 29.849, 44.590, 30.932
2012-06-05, 2012-06-05T04:35:01.036800000, 35.573, 1023.885, 0.634, 149.374, 30.987, 48.864, 34.310
2012-06-06, 2012-06-06T04:09:01.036800000, 26.892, 1023.886, 0.638, 149.888, 37.834, 52.248, 41.170
2012-06-07, 2012-06-07T18:38:01.036800000, -18.104, 1023.699, 0.548, 140.447, 35.728, 49.621, 29.311
2012-06-08, 2012-06-08T02:06:01.036800000, 27.865, 1023.704, 0.546, 141.346, 36.644, 47.495, 26.350
2012-06-09, 2012-06-09T21:03:01.036800000, 31.517, 1024.015, 0.686, 158.835, 44.410, 39.923, 37.541
2012-06-10, 2012-06-10T14:52:01.036800000, 22.309, 1024.049, 0.696, 162.684, 49.500, 40.216, 46.295
2012-06-11, 2012-06-11T16:20:01.036800000, 35.826, 1023.836, 0.591, 146.972, 54.050, 46.065, 40.434
2012-06-12, 2012-06-12T15:15:01.036800000, 25.936, 1023.776, 0.564, 137.755, 45.428, 56.087, 39.500
2012-06-13, 2012-06-13T16:14:01.036800000, 26.677, 1023.869, 0.606, 141.532, 38.335, 63.475, 50.749
2012-06-14, 2012-06-14T16:46:01.036800000, 32.917, 1023.859, 0.606, 139.342, 35.208, 64.619, 47.487
2012-06-15, 2012-06-15T19:32:01.036800000, 40.259, 1023.757, 0.551, 133.190, 32.427, 59.624, 37.776
2012-06-16, 2012-06-16T19:50:01.036800000, 36.253, 1023.772, 0.546, 132.734, 36.736, 61.107, 38.237
2012-06-17, 2012-06-17T05:18:01.036800000, 28.817, 1023.482, 0.390, 115.735, 38.393, 48.698, 21.828
2012-06-18, 2012-06-18T06:47:01.036800000, 19.240, 1023.481, 0.397, 112.985, 34.973, 52.155, 21.808
2012-06-19, 2012-06-19T11:12:01.036800000, 18.434, 1023.485, 0.405, 114.520, 28.380, 52.207, 23.334
2012-06-20, 2012-06-20T09:22:01.036800000, 29.334, 1023.645, 0.489, 125.648, 31.567, 54.865, 30.900
2012-06-21, 2012-06-21T11:34:01.036800000, 18.952, 1023.688, 0.498, 130.100, 27.112, 53.784, 30.130
2012-06-22, 2012-06-22T15:14:01.036800000, 24.421, 1023.752, 0.514, 135.874, 24.939, 54.172, 31.970
2012-06-23, 2012-06-23T21:01:01.036800000, -25.929, 1023.721, 0.480, 139.018, 24.364, 49.936, 28.504
2012-06-24, 2012-06-24T16:58:01.036800000, 31.295, 1023.873, 0.532, 151.389, 32.785, 54.201, 34.956
2012-06-25, 2012-06-25T06:38:01.036800000, 28.574, 1024.113, 0.632, 169.662, 42.773, 41.790, 46.549
2012-06-26, 2012-06-26T07:27:01.036800000, 28.024, 1023.812, 0.476, 157.615, 45.439, 26.952, 19.873
2012-06-27, 2012-06-27T07:45:01.036800000, 27.706, 1023.863, 0.501, 148.619, 40.665, 40.722, 22.082
2012-06-28, 2012-06-28T09:36:01.036800000, 31.993, 1023.738, 0.431, 139.666, 32.146, 43.181, 20.013
2012-06-29, 2012-06-29T22:18:01.036800000, -25.718, 1023.956, 0.534, 151.457, 36.498, 39.438, 26.965
2012-06-30, 2012-06-30T02:28:01.036800000, -19.507, 1024.081, 0.597, 154.330, 40.585, 37.904, 31.258
2012-07-01, 2012-07-01T14:52:01.036800000, -18.517, 1023.829, 0.460, 134.996, 26.259, 46.920, 23.753
2012-07-02, 2012-07-02T07:32:01.036800000, 25.142, 1023.867, 0.471, 133.141, 25.938, 55.657, 33.603
2012-07-03, 2012-07-03T06:31:01.036800000, 27.376, 1023.851, 0.472, 133.070, 24.989, 55.746, 32.127
2012-07-04, 2012-07-04T09:57:01.036800000, 33.098, 1023.886, 0.476, 137.074, 32.106, 53.771, 35.594
2012-07-05, 2012-07-05T08:08:01.036800000, 32.689, 1023.746, 0.376, 124.736, 33.853, 51.138, 23.302
2012-07-06, 2012-07-06T09:23:01.036800000, 21.477, 1023.788, 0.391, 123.816, 29.262, 55.603, 21.677
2012-07-07, 2012-07-07T06:54:01.036800000, 17.080, 1023.839, 0.417, 128.494, 31.643, 55.624, 24.479
2012-07-08, 2012-07-08T19:42:01.036800000, -16.762, 1024.041, 0.502, 146.650, 43.509, 51.888, 34.444
2012-07-09, 2012-07-09T17:08:01.036800000, 29.393, 1024.241, 0.566, 167.713, 45.008, 43.374, 49.384
2012-07-10, 2012-07-10T22:02:01.036800000, -36.495, 1024.308, 0.590, 173.529, 37.374, 46.998, 72.753
2012-07-11, 2012-07-11T04:06:01.036800000, 43.849, 1024.286, 0.584, 169.963, 35.885, 48.582, 75.427
2012-07-12, 2012-07-12T21:20:01.036800000, 33.642, 1024.273, 0.583, 165.546, 38.216, 49.327, 71.830
2012-07-13, 2012-07-13T21:24:01.036800000, 75.809, 1024.249, 0.554, 164.256, 48.603, 42.013, 56.515
2012-07-14, 2012-07-14T01:02:01.036800000, 31.683, 1023.864, 0.334, 133.601, 53.752, 47.318, 27.775
2012-07-15, 2012-07-15T00:10:01.036800000, -22.255, 1024.096, 0.441, 150.200, 54.663, 53.839, 41.170
2012-07-16, 2012-07-16T01:24:01.036800000, -20.315, 1024.113, 0.448, 148.695, 46.963, 61.609, 51.521
2012-07-17, 2012-07-17T06:38:01.036800000, 24.157, 1024.122, 0.457, 146.399, 36.241, 69.048, 52.160
2012-07-18, 2012-07-18T20:02:01.036800000, 23.885, 1024.221, 0.512, 150.940, 31.528, 64.787, 49.208
2012-07-19, 2012-07-19T07:10:01.036800000, 29.757, 1024.251, 0.529, 153.908, 30.858, 64.509, 48.959
2012-07-20, 2012-07-20T10:29:01.036800000, 36.029, 1024.267, 0.540, 158.971, 32.180, 60.830, 55.712
2012-07-21, 2012-07-21T17:28:01.036800000, 39.856, 1024.282, 0.548, 162.378, 39.134, 56.269, 62.810
2012-07-22, 2012-07-22T19:34:01.036800000, 44.873, 1023.795, 0.319, 125.657, 54.983, 45.052, 20.918
2012-07-23, 2012-07-23T12:18:01.036800000, -23.861, 1023.792, 0.340, 104.422, 50.423, 70.372, 21.062
2012-07-24, 2012-07-24T08:50:01.036800000, 30.107, 1023.835, 0.365, 90.744, 53.078, 91.003, 25.801
2012-07-25, 2012-07-25T14:30:01.036800000, -29.860, 1023.864, 0.354, 87.138, 54.259, 99.833, 27.915
2012-07-26, 2012-07-26T14:33:01.036800000, -22.409, 1023.816, 0.320, 86.348, 51.434, 96.703, 34.317
2012-07-27, 2012-07-27T21:50:01.036800000, 35.372, 1023.806, 0.315, 91.535, 48.318, 90.343, 34.039
2012-07-28, 2012-07-28T10:27:01.036800000, 32.218, 1023.861, 0.351, 101.680, 47.948, 85.103, 32.465
2012-07-29, 2012-07-29T22:56:01.036800000, 23.905, 1023.856, 0.328, 113.245, 40.351, 74.949, 32.839
2012-07-30, 2012-07-30T11:57:01.036800000, 48.920, 1023.933, 0.349, 133.694, 43.539, 61.406, 36.662
2012-07-31, 2012-07-31T13:22:01.036800000, 47.474, 1023.943, 0.344, 139.539, 42.213, 65.956, 42.129
2012-08-01, 2012-08-01T22:25:01.036800000, 24.330, 1023.862, 0.295, 134.582, 39.270, 64.000, 39.950
2012-08-02, 2012-08-02T04:34:01.036800000, -39.565, 1023.825, 0.272, 128.167, 38.666, 59.397, 28.694
2012-08-03, 2012-08-03T16:44:01.036800000, -24.433, 1023.857, 0.289, 129.034, 43.195, 56.880, 25.893
2012-08-04, 2012-08-04T17:32:01.036800000, 34.626, 1023.848, 0.284, 124.381, 43.062, 53.073, 20.893
2012-08-05, 2012-08-05T03:00:01.036800000, 27.340, 1023.854, 0.286, 120.895, 42.357, 53.383, 19.046
2012-08-06, 2012-08-06T07:34:01.036800000, 56.557, 1023.900, 0.313, 120.057, 49.867, 56.272, 19.075
2012-08-07, 2012-08-07T08:00:01.036800000, 44.186, 1023.915, 0.327, 119.543, 53.860, 59.774, 21.597
2012-08-08, 2012-08-08T20:50:01.036800000, 54.163, 1023.890, 0.326, 114.447, 52.855, 64.399, 20.789
2012-08-09, 2012-08-09T23:05:01.036800000, 55.241, 1023.869, 0.333, 110.483, 59.286, 65.733, 22.204
2012-08-10, 2012-08-10T10:12:01.036800000, 42.440, 1023.861, 0.343, 104.443, 58.901, 71.529, 21.764
2012-08-11, 2012-08-11T00:26:01.036800000, 46.270, 1023.849, 0.335, 101.432, 58.657, 74.824, 25.200
2012-08-12, 2012-08-12T18:52:01.036800000, -33.054, 1023.831, 0.320, 98.656, 57.129, 80.056, 26.884
2012-08-13, 2012-08-13T08:14:01.036800000, -31.382, 1023.841, 0.333, 98.055, 54.197, 82.438, 22.813
2012-08-14, 2012-08-14T08:58:01.036800000, -18.480, 1023.919, 0.376, 107.728, 51.883, 77.288, 22.638
2012-08-15, 2012-08-15T14:06:01.036800000, -16.047, 1024.010, 0.434, 115.447, 51.628, 79.384, 31.006
2012-08-16, 2012-08-16T10:08:01.036800000, -14.607, 1025.679, 1.428, 216.046, 89.525, 183.613, 394.033
2012-08-20, 2012-08-20T20:48:00.979200000, 13.991, 1025.723, 1.428, 216.780, 91.178, 183.612, 358.073
2012-08-21, 2012-08-21T07:30:00.979200000, 18.215, 1025.760, 1.428, 226.722, 96.880, 183.611, 328.729
2012-08-22, 2012-08-22T18:26:00.979200000, 14.960, 1025.814, 1.428, 233.169, 101.893, 183.612, 319.969
2012-08-23, 2012-08-23T20:54:00.979200000, -19.071, 1025.880, 1.428, 232.050, 106.467, 183.611, 270.724
2012-08-24, 2012-08-24T13:26:00.979200000, -14.519, 1025.780, 1.428, 228.080, 91.905, 183.611, 350.452
2012-08-25, 2012-08-25T10:03:00.979200000, 22.464, 1025.741, 1.428, 217.218, 74.466, 183.613, 376.535
2012-08-26, 2012-08-26T04:02:00.979200000, -28.356, 1025.717, 1.428, 209.348, 78.207, 183.612, 343.887
2012-08-27, 2012-08-27T02:46:00.979200000, -25.100, 1025.654, 1.428, 204.058, 87.583, 183.612, 336.789
2012-08-28, 2012-08-28T11:54:00.979200000, 46.345, 1025.830, 1.428, 201.826, 90.240, 183.614, 239.438
2012-08-29, 2012-08-29T12:57:00.979200000, -20.096, 1025.958, 1.428, 193.584, 88.625, 183.612, 143.566
2012-08-30, 2012-08-30T09:40:00.979200000, 23.404, 1025.879, 1.428, 187.447, 94.637, 183.613, 141.548
2012-08-31, 2012-08-31T12:08:00.979200000, -18.691, 1025.844, 1.428, 183.879, 97.201, 183.611, 140.460
2012-09-01, 2012-09-01T20:16:00.979200000, 27.339, 1025.767, 1.428, 190.063, 99.501, 183.611, 202.377
2012-09-02, 2012-09-02T02:45:00.979200000, -29.877, 1025.770, 1.428, 180.987, 105.453, 183.614, 150.999
2012-09-03, 2012-09-03T08:42:00.979200000, 19.874, 1025.691, 1.428, 186.630, 113.163, 183.614, 202.264
2012-09-04, 2012-09-04T07:58:00.979200000, 17.326, 1025.683, 1.428, 190.609, 113.854, 183.610, 237.228
2012-09-05, 2012-09-05T18:12:00.979200000, 23.484, 1025.647, 1.428, 189.508, 115.390, 183.612, 238.914
2012-09-06, 2012-09-06T21:34:00.979200000, 20.047, 1025.711, 1.428, 192.137, 106.130, 183.615, 222.797
2012-09-07, 2012-09-07T07:12:00.979200000, 23.168, 1025.698, 1.428, 192.992, 107.578, 183.613, 215.290
2012-09-08, 2012-09-08T19:18:00.979200000, 32.973, 1025.675, 1.428, 196.462, 112.010, 183.612, 232.723
2012-09-09, 2012-09-09T20:25:00.979200000, -21.267, 1025.701, 1.428, 198.189, 109.762, 183.611, 218.220
2012-09-10, 2012-09-10T15:42:00.979200000, 19.219, 1025.695, 1.428, 197.582, 112.109, 183.614, 208.125
2012-09-11, 2012-09-11T07:50:00.979200000, 28.396, 1025.697, 1.428, 194.250, 113.165, 183.614, 194.493
2012-09-12, 2012-09-12T06:12:00.979200000, -20.897, 1025.708, 1.428, 195.809, 109.545, 183.614, 197.572
2012-09-13, 2012-09-13T12:09:00.979200000, 27.217, 1025.743, 1.428, 194.839, 108.041, 183.614, 188.912
2012-09-14, 2012-09-14T11:27:00.979200000, 28.179, 1025.652, 1.428, 201.022, 106.268, 183.613, 265.406
2012-09-15, 2012-09-15T23:05:00.979200000, -15.379, 1025.799, 1.428, 194.094, 100.348, 183.614, 186.821
2012-09-16, 2012-09-16T11:37:00.979200000, -21.659, 1025.748, 1.428, 194.457, 106.905, 183.613, 200.503
2012-09-17, 2012-09-17T01:12:00.979200000, 28.515, 1025.630, 1.428, 197.515, 115.241, 183.612, 255.371
2012-09-18, 2012-09-18T00:37:00.979200000, -14.988, 1025.591, 1.428, 194.994, 125.216, 183.611, 250.682
2012-09-19, 2012-09-19T04:30:00.979200000, 21.943, 1025.626, 1.428, 179.424, 130.383, 183.613, 152.178
2012-09-20, 2012-09-20T07:25:00.979200000, 17.540, 1025.613, 1.428, 189.594, 129.141, 183.613, 217.483
2012-09-21, 2012-09-21T06:24:00.979200000, 16.383, 1025.623, 1.428, 193.119, 130.469, 183.613, 224.938
2012-09-22, 2012-09-22T07:44:00.979200000, 19.967, 1025.640, 1.428, 194.524, 128.957, 183.613, 224.748
2012-09-23, 2012-09-23T10:26:00.979200000, 23.407, 1025.670, 1.428, 192.363, 126.462, 183.613, 221.118
2012-09-24, 2012-09-24T02:43:00.979200000, -24.953, 1025.623, 1.428, 192.153, 133.515, 183.613, 233.759
2012-09-25, 2012-09-25T13:32:00.979200000, -24.341, 1025.588, 1.428, 190.181, 135.909, 183.612, 251.856
2012-09-26, 2012-09-26T15:09:00.979200000, -27.503, 1025.648, 1.428, 189.869, 126.713, 183.611, 236.413
2012-09-27, 2012-09-27T23:20:00.979200000, 23.851, 1025.750, 1.428, 188.954, 111.292, 183.615, 194.953
2012-09-28, 2012-09-28T10:32:00.979200000, 26.579, 1025.808, 1.428, 187.934, 106.269, 183.613, 171.297
2012-09-29, 2012-09-29T08:18:00.979200000, 22.092, 1025.808, 1.428, 196.369, 107.785, 183.613, 215.228
2012-09-30, 2012-09-30T22:58:00.979200000, 20.725, 1025.825, 1.428, 200.621, 112.776, 183.612, 219.833
2012-10-01, 2012-10-01T07:27:00.979200000, 32.503, 1025.764, 1.428, 208.170, 128.774, 183.614, 273.465
2012-10-02, 2012-10-02T02:00:00.979200000, -18.160, 1024.694, 1.428, 38.691, 165.734, 183.615, 33.738
2012-10-03, 2012-10-03T00:38:00.979200000, 33.085, 1024.633, 1.428, 31.149, 149.133, 183.612, 25.907
2012-10-04, 2012-10-04T01:00:00.979200000, 26.064, 1024.562, 1.428, 28.912, 124.361, 183.612, 24.705
2012-10-05, 2012-10-05T14:56:00.979200000, 20.424, 1024.537, 1.428, 29.133, 115.630, 183.614, 27.314
2012-10-06, 2012-10-06T14:45:00.979200000, 28.079, 1024.612, 1.428, 35.540, 121.551, 183.613, 35.391
2012-10-07, 2012-10-07T03:21:00.979200000, 20.364, 1024.687, 1.428, 45.562, 119.535, 183.612, 43.547
2012-10-08, 2012-10-08T13:19:00.979200000, -20.255, 1024.820, 1.428, 61.162, 126.247, 183.614, 55.951
