time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-08-28 00:00:00, 2016-08-28T04:25:00.000000000, 43.949, 1023.651, 1.279, 60.975, 118.084, 82.924, 44.291
2016-08-29 00:00:00, 2016-08-29T01:14:00.000000000, -24.433, 1023.649, 1.278, 53.150, 113.742, 82.884, 51.759
2016-08-30 00:00:00, 2016-08-30T21:56:00.000000000, 22.882, 1023.653, 1.278, 47.949, 105.272, 81.986, 58.018
2016-08-31 00:00:00, 2016-08-31T10:28:00.000000000, 23.444, 1023.629, 1.278, 49.056, 105.089, 80.294, 56.328
2016-09-01 00:00:00, 2016-09-01T04:04:00.000000000, -27.112, 1023.626, 1.279, 48.738, 109.037, 79.857, 55.196
2016-09-02 00:00:00, 2016-09-02T18:24:00.000000000, -25.392, 1023.633, 1.278, 46.296, 107.274, 81.075, 57.648
2016-09-03 00:00:00, 2016-09-03T05:55:00.000000000, -24.659, 1023.635, 1.279, 44.850, 104.530, 79.833, 61.640
2016-09-04 00:00:00, 2016-09-04T07:02:00.000000000, -26.016, 1023.642, 1.278, 45.969, 105.189, 79.811, 59.614
2016-09-05 00:00:00, 2016-09-05T07:08:00.000000000, -28.180, 1023.638, 1.279, 46.713, 107.709, 80.328, 56.790
2016-09-06 00:00:00, 2016-09-06T15:49:00.000000000, 25.777, 1023.622, 1.279, 46.887, 109.522, 80.600, 55.799
2016-09-07 00:00:00, 2016-09-07T09:53:00.000000000, -23.016, 1023.619, 1.279, 47.470, 108.831, 81.166, 55.252
2016-09-08 00:00:00, 2016-09-08T21:44:00.000000000, -30.199, 1023.619, 1.278, 48.915, 108.753, 81.944, 54.627
2016-09-09 00:00:00, 2016-09-09T09:55:00.000000000, -30.165, 1023.623, 1.277, 47.142, 112.421, 82.478, 53.707
2016-09-10 00:00:00, 2016-09-10T10:54:00.000000000, -32.997, 1023.617, 1.278, 44.502, 110.199, 83.270, 52.796
2016-09-11 00:00:00, 2016-09-11T11:20:00.000000000, -34.571, 1023.613, 1.278, 45.371, 102.014, 81.103, 56.873
